well_id,x_coord,y_coord,BTEX
int,double,double,double
1,2630,800,0
2,2360,910,645
3,2290,1090,47.2
4,2240,840,445.5
5,2310,550,1068.5
6,1990,550,971.9
7,2020,680,1400.3
8,2020,720,0
9,2120,1020,200.85
10,2520,1190,487.5
11,2220,440,0
12,2010,1070,988
13,2260,1300,0
14,2420,1310,0
15,1900,910,24.8
16,1780,620,2.05
17,1800,710,0
18,1800,820,203.3
19,1680,900,170.05
20,1740,990,0
21,1760,1080,39.5
22,2130,1200,0
23,1870,570,27.95
24,1560,1010,0
25,1520,860,0
26,1360,610,0
27,1600,1110,0
28,1680,880,81.5
29,2630,980,0
30,2670,920,0
31,2590,890,560.3
32,2590,870,0
33,2580,910,194.55
34,1960,1170,129.8
35,1770,1170,0
36,1520,890,0
